Wall time,Step,Value
1720886537.633879,3137000,53428.8125
1720886758.1357288,3148000,53328.23046875
1720886898.8822458,3155000,54258.84765625
1720886918.736531,3156000,54274.23046875
1720887058.103529,3163000,53507.47265625
1720887117.261315,3166000,54016.890625
1720887598.230769,3190000,52857.21875
1720887659.2340999,3193000,52733.84765625
1720887801.908308,3200000,52679.60546875
1720887861.9649549,3203000,53285.33203125
1720887882.22789,3204000,53322.13671875
1720887922.658437,3206000,53351.55078125
1720887942.6264892,3207000,53346.26953125
1720888350.746877,3227000,51857.296875
1720888453.344872,3232000,51473.22265625
1720888640.341132,3241000,51491.87109375
1720888683.321449,3243000,51548.125
1720888728.2962198,3245000,51576.8203125
1720888883.1720908,3252000,52387.4609375
1720891794.845398,3264000,54047.92578125
1720891828.431134,3266000,53838.015625
1720891931.345859,3272000,54516.39453125
1720892071.395885,3280000,54352.5390625
1720892177.6255329,3286000,55100.57421875
1720892194.249442,3287000,55051.03515625
1720892280.829996,3292000,54421.96875
1720892367.74433,3297000,54942.4296875
1720892488.926455,3304000,55547.97265625
1720892694.926204,3316000,56824.45703125
1720892763.181115,3320000,57394.55078125
1720892988.953857,3333000,56745.13671875
1720893024.851666,3335000,56248.2578125
1720893058.3329642,3337000,56510.6640625
1720893109.9811862,3340000,56904.578125
1720893229.6913338,3345000,56755.34375
1720893544.053055,3362000,56147.796875
1720893644.771414,3367000,55831.1171875
1720893998.418354,3385000,56984.4609375
1720894076.979369,3389000,56838.1953125
1720894134.670882,3392000,56850.6796875
1720894232.4342232,3397000,56979.9453125
1720894369.2875378,3404000,56319.11328125
1720894452.570087,3408000,56724.6796875
1720894492.196228,3410000,56764.97265625
1720894612.4062378,3416000,56697.34375
1720894631.747149,3417000,56705.5703125
1720894750.316725,3423000,56730.39453125
1720894892.4220831,3430000,59253.3359375
1720895012.818336,3436000,58501.4296875
1720895072.107935,3439000,58507.66015625
1720895188.823515,3445000,58992.17578125
1720895407.9275992,3456000,59579.30078125
1720895447.088824,3458000,60061.33203125
1720895642.6716108,3468000,59950.34375
1720895700.052502,3471000,59999.93359375
1720895739.944811,3473000,60013.69140625
1720895837.528499,3478000,60381.359375
1720896157.979784,3494000,60691.55078125
1720896199.397133,3496000,60671.6171875
1720896321.9408078,3502000,59775.56640625
1720896400.856719,3506000,59827.375
1720896440.350553,3508000,59851.3984375
1720896723.447884,3522000,59169.46875
1720896957.8653922,3534000,56077.8125
1720897059.005725,3539000,56251.80078125
1720897302.6471622,3551000,56420.234375
1720897322.455611,3552000,56425.72265625
1720897442.7591748,3558000,56379.99609375
1720897463.095409,3559000,56694.859375
1720897752.588341,3573000,55545.1796875
1720897835.191915,3577000,56916.703125
1720897876.165694,3579000,56463.83203125
1720897918.7796931,3581000,56128.015625
1720897983.222136,3584000,56155.1484375
1720900264.8819652,3581000,56122.87109375
1720900550.965728,3598000,54141.25
1720900742.274011,3609000,52600.44921875
1720900759.9934669,3610000,52118.234375
1720900866.446254,3616000,51864.12109375
1720900987.94149,3623000,50508.6328125
1720901410.368922,3647000,49737.50390625
1720901513.476334,3653000,49267.6640625
1720901548.9198139,3655000,49380.37890625
1720901920.329328,3676000,45870.51171875
1720901975.350888,3679000,46809.3203125
1720902053.341856,3683000,46297.18359375
1720902073.5898461,3684000,46963.94921875
1720902094.356202,3685000,46836.1875
1720902212.441555,3691000,46668.0546875
1720902270.2823858,3694000,46334.21875
1720902309.910065,3696000,46914.890625
1720902481.866763,3705000,46563.56640625
1720902615.873337,3712000,48146.71484375
1720902714.533002,3717000,48097.45703125
1720902874.302612,3725000,47185.53515625
1720902953.40307,3729000,46456.40234375
1720903031.821601,3733000,47653.01171875
1720903288.010339,3746000,49671.79296875
1720903327.4485052,3748000,51158.11328125
1720903387.335215,3751000,51269.72265625
1720903629.778611,3763000,54520.125
1720903709.114485,3767000,53925.3828125
1720903811.446823,3772000,55092.3046875
1720903850.733273,3774000,55250.41796875
1720904046.506963,3784000,56458.8125
1720904085.2591512,3786000,57070.953125
1720904124.4824011,3788000,56711.55859375
1720904384.0480719,3801000,59057.8515625
1720904705.948719,3817000,59318.81640625
1720904806.157985,3822000,60192.09765625
1720904948.381241,3829000,59100.90625
1720905452.163211,3854000,57337.6953125
1720905474.130259,3855000,57338.51171875
1720905494.812483,3856000,57900.96875
1720905636.6224692,3863000,58021.015625
1720905835.336593,3873000,55418.296875
1720905996.798221,3881000,55187.85546875
1720906142.5397,3888000,55270.19140625
1720906223.451958,3892000,54400.5078125
1720907774.551829,3903000,54058.38671875
1720907876.396938,3909000,53669.2421875
1720907982.067073,3915000,53029.91796875
1720908302.624429,3933000,52790.30078125
1720908374.47784,3937000,52972.93359375
1720908571.8361359,3948000,53252.15234375
1720908661.228236,3953000,51964.6953125
1720908748.330273,3958000,52172.515625
1720908818.916286,3962000,52189.8046875
1720908836.383328,3963000,52219.61328125
1720909031.3848782,3974000,52851.3125
1720909049.2869172,3975000,52945.9140625
1720909246.610411,3986000,52125.52734375
1720909281.518097,3988000,52226.5625
1720909299.806357,3989000,52283.06640625
1720909423.52265,3996000,53701.71484375
1720909477.680502,3999000,53881.9609375
1720909498.686612,4000000,53943.79296875
1720909517.510626,4001000,54728.1328125
1720909633.809771,4007000,54964.4296875
1720910063.7949362,4029000,56159.49609375
1720910400.481581,4046000,57582.91015625
1720910499.108547,4051000,57764.19140625
1720910518.707922,4052000,57798.35546875
1720910559.314668,4054000,56994.21875
